method_id,k,strategy,n_patients,n_patient_observations,mean_hidden_dice,mean_hidden_hd95_px,mean_area_curve_relative_rmse,mean_hidden_brier,trust_gate_rejection_rate
target_only,3,clustered,98,490,0.7473355658931327,9.926662941463533,0.6056608235759552,0.03779014489252344,0.8673469387755102
hb_tpm_latent_mse,3,random,98,490,0.750507034901643,9.511790019487588,0.5708590355549349,0.037233991746087415,0.16938775510204082
oa_hb_tpm_isotropic_prior,3,random,98,490,0.7480485102467036,9.868093185423035,0.5982594429404432,0.03762416804437426,0.5326530612244897
oa_hb_tpm_map,3,random,98,490,0.7480805444969243,9.869137485834049,0.5983491524869972,0.03762327621747944,0.4816326530612245
oa_hb_tpm_no_phase_alignment,3,random,98,490,0.7481385546747679,9.86633690078349,0.5981835604468704,0.03761477125048329,0.4897959183673469
source_mean,3,random,98,490,0.7486390322502888,9.78729942075153,0.5911788654300939,0.037063684464641325,0.35918367346938773
target_only,3,random,98,490,0.7459614289261115,9.954244639041386,0.6074254991615446,0.03786422873714136,0.5816326530612245
hb_tpm_latent_mse,3,uniform,98,98,0.7503705524379756,9.461456218942963,0.5687402711385975,0.03694504622027881,0.10204081632653061
oa_hb_tpm_isotropic_prior,3,uniform,98,98,0.7479324822199654,9.818369987092966,0.598267894098909,0.037373627374442824,0.05102040816326531
oa_hb_tpm_map,3,uniform,98,98,0.7479730106835344,9.81903679700917,0.5982313950139005,0.037369554710327324,0.061224489795918366
oa_hb_tpm_no_phase_alignment,3,uniform,98,98,0.7480689296748295,9.81448299084324,0.59861659218848,0.03737170161793422,0.04081632653061224
source_mean,3,uniform,98,98,0.7483662132330974,9.754310051258289,0.5911787124075556,0.03683092313989688,0.12244897959183673
target_only,3,uniform,98,98,0.7459908635860506,9.913366064932148,0.6082177908546216,0.03762907380884395,0.07142857142857142
hb_tpm_latent_mse,5,clustered,98,490,0.7545133829564483,9.468726137882527,0.5723646330863253,0.03719597026819777,0.0
oa_hb_tpm_isotropic_prior,5,clustered,98,490,0.7496122290280228,9.896535032538019,0.6065508974743439,0.03787818094715472,0.9163265306122449
oa_hb_tpm_map,5,clustered,98,490,0.7496235985029815,9.898249859465059,0.6062756794150874,0.037873430361933205,0.9387755102040817
oa_hb_tpm_no_phase_alignment,5,clustered,98,490,0.7496157554292727,9.898604861882456,0.6062236070174242,0.03787483130296574,0.9448979591836735
source_mean,5,clustered,98,490,0.7510421824914191,9.758835577120935,0.590630103923439,0.03709170879530051,0.6428571428571429
target_only,5,clustered,98,490,0.7486960689841481,9.9218510354836,0.6077894362407205,0.03783250982512012,0.9979591836734694
hb_tpm_latent_mse,5,random,98,490,0.7519335862763022,9.460829365483606,0.5707816616873622,0.037135447320357215,0.0163265306122449
oa_hb_tpm_isotropic_prior,5,random,98,490,0.7474603538252779,9.906499069272721,0.6059828515180078,0.03782848655341227,0.5224489795918368
oa_hb_tpm_map,5,random,98,490,0.7474850895379638,9.906574033141364,0.6056487720998103,0.03782141963780226,0.5510204081632653
oa_hb_tpm_no_phase_alignment,5,random,98,490,0.74747992369826,9.906571430325872,0.6054315668200763,0.03781782597189346,0.5346938775510204
source_mean,5,random,98,490,0.7492448565398707,9.756893304909962,0.5906301668717597,0.03699939167317074,0.5265306122448979
target_only,5,random,98,490,0.746836514532813,9.934328380309314,0.6082964094494832,0.037805907420661936,0.46122448979591835
hb_tpm_latent_mse,5,uniform,98,98,0.7508571628909138,9.424113080192768,0.5658063992653101,0.03703689082924804,0.12244897959183673
oa_hb_tpm_isotropic_prior,5,uniform,98,98,0.7470471596217075,9.88182987088687,0.6008722339762528,0.037551151598062396,0.05102040816326531
oa_hb_tpm_map,5,uniform,98,98,0.7471042798551697,9.873389430977612,0.6001142460801803,0.037528471945195735,0.030612244897959183
oa_hb_tpm_no_phase_alignment,5,uniform,98,98,0.7470966136072074,9.87387731213387,0.5999929694893378,0.037527362207825044,0.04081632653061224
source_mean,5,uniform,98,98,0.7481723950850272,9.756748485015084,0.5906301393649968,0.036873671511302136,0.11224489795918367
