record_id,method_id,seed,n_photons,success,failure_reason,runtime_s,truth_d_start_um2_s,truth_d_end_um2_s,estimate_d_start_um2_s,estimate_d_end_um2_s,log_endpoint_squared_error,curve_relative_rmse,endpoint_coverage,prior_used,simulation_truth_used_by_estimator
target_023,oa_hb_tpm_map,1422758397,603,True,,0.21265545801725239,44.640586581307645,114.31081730724345,41.02958741968555,86.42157522690604,0.042668989297682446,0.17171646520663925,1.0,True,False
target_024,target_only_event_qmle,1399343056,453,True,,0.20805744302924722,38.55134284555103,89.29086649305273,32.459338765516854,77.37334300271819,0.025053739647534084,0.14597828983836605,1.0,False,False
target_024,oa_hb_tpm_map,1399343056,453,True,,0.19007366197183728,38.55134284555103,89.29086649305273,49.57780979238405,79.40156671293968,0.038528471046173934,0.13756925612631613,1.0,True,False
target_025,target_only_event_qmle,1145186337,503,True,,0.204758579027839,53.365912941964034,89.32834955984785,90.28853020842,26.86187573063956,0.8601872727927165,0.4394858155752131,0.5,False,False
target_025,oa_hb_tpm_map,1145186337,503,True,,0.30622892500832677,53.365912941964034,89.32834955984785,65.2694021655981,61.33946232520256,0.0909198585902146,0.17053097198446987,1.0,True,False
target_026,target_only_event_qmle,836404456,581,True,,0.27293009508866817,37.741473439222304,78.37314404907583,35.092425900649665,74.97197913483893,0.003632256760212206,0.0573851366892905,1.0,False,False
target_026,oa_hb_tpm_map,836404456,581,True,,0.20654782291967422,37.741473439222304,78.37314404907583,47.404996537884664,75.83477990005154,0.026526721433010745,0.13470362094217686,1.0,True,False
target_027,target_only_event_qmle,1416054233,435,True,,0.18395552306901664,31.57072191671589,61.557512761918844,20.265691804290398,118.69555097302559,0.3138129454880246,0.406882525627051,1.0,False,False
target_027,oa_hb_tpm_map,1416054233,435,True,,0.22017592401243746,31.57072191671589,61.557512761918844,41.10980578594959,85.52570423354386,0.08892189490004825,0.3462130829735944,1.0,True,False
target_028,target_only_event_qmle,2008794004,405,True,,0.15749648096971214,42.75697035153342,73.42698989020968,26.419494054207536,57.1233842324498,0.14740754661447644,0.3086344793120662,1.0,False,False
target_028,oa_hb_tpm_map,2008794004,405,True,,0.15854983101598918,42.75697035153342,73.42698989020968,40.60712072352248,70.82332078050285,0.0019824237985613005,0.04310402514785458,1.0,True,False
target_029,target_only_event_qmle,592996612,553,True,,0.26296013593673706,42.91560790366645,78.33355617224888,29.2294235931371,116.14349854539128,0.1513100085254182,0.23346638173545542,1.0,False,False
target_029,oa_hb_tpm_map,592996612,553,True,,0.19929847202729434,42.91560790366645,78.33355617224888,48.70547062682522,87.24316802411929,0.013810324519766156,0.12444471020096529,1.0,True,False
target_030,target_only_event_qmle,599615863,529,True,,0.21303632901981473,35.071600080341135,105.71006718182863,43.09119157306168,78.14189200998344,0.06685745878669426,0.1463552637002489,1.0,False,False
target_030,oa_hb_tpm_map,599615863,529,True,,0.19236567500047386,35.071600080341135,105.71006718182863,50.410821579381555,80.83949274853396,0.10179194081497721,0.205444686296858,1.0,True,False
target_031,target_only_event_qmle,1257469660,473,True,,0.15751052799168974,38.61949242977623,87.4715272110003,16.055413057053208,214.60409431691255,0.7879249552548919,0.5961155608703347,0.5,False,False
target_031,oa_hb_tpm_map,1257469660,473,True,,0.1964082809863612,38.61949242977623,87.4715272110003,41.96268209971519,111.1887720250232,0.032226316381912826,0.18439779638552742,1.0,True,False
target_032,target_only_event_qmle,1349715332,447,True,,0.3692834690446034,36.16107966468561,79.38505845266792,46.15775151929897,211.186820875613,0.5084534406394182,0.9709631602801938,1.0,False,False
target_032,oa_hb_tpm_map,1349715332,447,True,,0.242738033994101,36.16107966468561,79.38505845266792,62.95768634529128,98.72543042642855,0.17749280019803082,0.49973020303464627,1.0,True,False
target_033,target_only_event_qmle,1635084678,543,False,d_search_boundary,0.21703068097122014,47.2673977039973,124.55544266564581,38.58362594201243,220.00000000000009,0.18241333610161875,0.3586679225592732,1.0,False,False
target_033,oa_hb_tpm_map,1635084678,543,True,,0.19660585396923125,47.2673977039973,124.55544266564581,56.43622288204517,124.46456508846221,0.01571621118905617,0.10944668729043219,1.0,True,False
target_034,target_only_event_qmle,1489802579,453,True,,0.2075962780509144,47.679143707065116,83.35672269006447,23.025381728221078,47.78154524609404,0.41975738793110157,0.473936233897957,0.5,False,False
target_034,oa_hb_tpm_map,1489802579,453,True,,0.1897429839009419,47.679143707065116,83.35672269006447,32.35663699131258,69.80035461929735,0.09089729517857897,0.2490549075269737,1.0,True,False
target_035,target_only_event_qmle,1289564112,582,True,,0.4066378290299326,42.85827254997297,99.78491551143935,195.73470244300236,40.43303462892348,1.561508700598653,1.3633756285197978,0.5,False,False
target_035,oa_hb_tpm_map,1289564112,582,True,,0.20696780597791076,42.85827254997297,99.78491551143935,65.65798338641875,83.55243601964683,0.10673762583458182,0.25079668807227895,1.0,True,False
target_036,target_only_event_qmle,852373774,457,True,,0.1901808310067281,44.69916907118505,71.79068682843956,26.909455722678064,25.7686013974333,0.6536670789575458,0.5345515926489086,0.5,False,False
target_036,oa_hb_tpm_map,852373774,457,True,,0.17236949200741947,44.69916907118505,71.79068682843956,38.393344850072,53.160108249539256,0.056696806874496686,0.20465331020599295,1.0,True,False
target_037,target_only_event_qmle,48326165,497,True,,0.24218172195833176,49.81444328865933,118.21595258040792,111.42773722899152,185.22154470212558,0.42488818846335685,0.9032157868661568,1.0,False,False
target_037,oa_hb_tpm_map,48326165,497,True,,0.18370226095430553,49.81444328865933,118.21595258040792,83.02424497347018,126.34877749748098,0.13268579898456093,0.38672324461111535,1.0,True,False
target_038,target_only_event_qmle,1443773056,563,False,d_search_boundary,0.22258720500394702,31.375465631576922,70.97037515860605,10.000000000000002,45.457382100354025,0.7529582974114578,0.5468228130732439,0.5,False,False
target_038,oa_hb_tpm_map,1443773056,563,True,,0.37622120592277497,31.375465631576922,70.97037515860605,22.04193137491331,62.45895079579489,0.07049302419439078,0.2181809120558586,1.0,True,False
target_039,target_only_event_qmle,1608226857,464,True,,0.17398230801336467,48.02259792029922,146.8531238534177,15.216661255540023,92.92342388327945,0.7651481400359578,0.550778503462173,0.5,False,False
target_039,oa_hb_tpm_map,1608226857,464,True,,0.19313225406222045,48.02259792029922,146.8531238534177,35.510180941680424,78.23296594188096,0.24384476444490394,0.37434851757751425,0.5,True,False
target_040,target_only_event_qmle,886178499,628,True,,0.2663711759960279,54.32185729072255,114.37106128653915,124.36877276812201,27.986871539888394,1.3338880237631412,0.5776886225720752,0.5,False,False
target_040,oa_hb_tpm_map,886178499,628,True,,0.2196883000433445,54.32185729072255,114.37106128653915,66.83323653134329,66.46759640061163,0.16876106339292643,0.23060559688650448,0.5,True,False
target_041,target_only_event_qmle,1371499097,446,False,d_search_boundary,0.1690256509464234,40.27746712286149,99.39425163918929,10.000000000000002,136.75962172318253,1.0214351429388393,0.4673276254467969,0.5,False,False
target_041,oa_hb_tpm_map,1371499097,446,True,,0.18783685797825456,40.27746712286149,99.39425163918929,31.72195690260036,87.78894350451328,0.03621637701221012,0.16780627430001857,1.0,True,False
