candidate_method,reference_method,k,strategy,metric,difference_definition,n_paired_patients,mean_paired_difference,bootstrap_95_lower,bootstrap_95_upper,bootstrap_unit
hb_tpm_latent_mse,oa_hb_tpm_map,7,uniform,area_curve_relative_rmse,candidate_minus_reference,98,-0.06099994387752843,-0.08851082167697885,-0.03184011938522304,patient
hb_tpm_latent_mse,oa_hb_tpm_map,7,uniform,hidden_brier,candidate_minus_reference,98,-0.0012711154639112776,-0.0026654996740517736,0.00020334288663210835,patient
hb_tpm_latent_mse,oa_hb_tpm_map,10,clustered,mean_hidden_dice,candidate_minus_reference,98,0.006599836038337274,0.0024059321480020927,0.010698173765958467,patient
hb_tpm_latent_mse,oa_hb_tpm_map,10,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,-0.5049461799859326,-0.7496277933917478,-0.2772236475556285,patient
hb_tpm_latent_mse,oa_hb_tpm_map,10,clustered,area_curve_relative_rmse,candidate_minus_reference,98,-0.04440826029017123,-0.06457775507631053,-0.024335539108377532,patient
hb_tpm_latent_mse,oa_hb_tpm_map,10,clustered,hidden_brier,candidate_minus_reference,98,-0.0010809422812747738,-0.001884064973113417,-0.0002718491453620436,patient
hb_tpm_latent_mse,oa_hb_tpm_map,10,random,mean_hidden_dice,candidate_minus_reference,98,0.008376318492539713,0.0013208618863540247,0.015104137241358277,patient
hb_tpm_latent_mse,oa_hb_tpm_map,10,random,mean_hidden_hd95_px,candidate_minus_reference,98,-0.668629930052325,-1.077818408518049,-0.2632431372469877,patient
hb_tpm_latent_mse,oa_hb_tpm_map,10,random,area_curve_relative_rmse,candidate_minus_reference,98,-0.05768100367589242,-0.08327872600674605,-0.03188664789724913,patient
hb_tpm_latent_mse,oa_hb_tpm_map,10,random,hidden_brier,candidate_minus_reference,98,-0.0015730346876139537,-0.002757535436409239,-0.0003784657555290187,patient
hb_tpm_latent_mse,oa_hb_tpm_map,10,uniform,mean_hidden_dice,candidate_minus_reference,98,0.007939660782779138,0.0002761405699184927,0.015054135736436552,patient
hb_tpm_latent_mse,oa_hb_tpm_map,10,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,-0.6550825724459799,-1.1062889754799388,-0.23215008716729593,patient
hb_tpm_latent_mse,oa_hb_tpm_map,10,uniform,area_curve_relative_rmse,candidate_minus_reference,98,-0.059039634366675656,-0.08637864390113545,-0.03164585872654427,patient
hb_tpm_latent_mse,oa_hb_tpm_map,10,uniform,hidden_brier,candidate_minus_reference,98,-0.0014864046183623873,-0.0027976343959417935,-0.00011800352949649602,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,2,clustered,mean_hidden_dice,candidate_minus_reference,98,0.0005235108043353545,-0.0007414188993424551,0.0017727706264312293,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,2,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,-0.010435373032253201,-0.041006771996945225,0.019014903830514435,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,2,clustered,area_curve_relative_rmse,candidate_minus_reference,98,-0.0027212297213685586,-0.00456954655912318,-0.0009754426899158103,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,2,clustered,hidden_brier,candidate_minus_reference,98,-5.579398640868856e-05,-0.0002765948393344141,0.00017162012549269072,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,2,random,mean_hidden_dice,candidate_minus_reference,98,0.0005817475416486567,-0.0006906603566743954,0.001966424882498466,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,2,random,mean_hidden_hd95_px,candidate_minus_reference,98,-0.013812979942545761,-0.045528499568204255,0.01877756174504164,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,2,random,area_curve_relative_rmse,candidate_minus_reference,98,-0.003178946820714712,-0.005471136592444431,-0.0012496345953107238,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,2,random,hidden_brier,candidate_minus_reference,98,-7.691461098741487e-05,-0.0003079302266373167,0.00015610953664634998,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,2,uniform,mean_hidden_dice,candidate_minus_reference,98,0.00044788049178210343,-0.0009294512959842593,0.0018265106334280539,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,2,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,-0.009758345883392097,-0.03975122149024593,0.02098202999783727,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,2,uniform,area_curve_relative_rmse,candidate_minus_reference,98,-0.0019422794258777676,-0.00350693242064967,-0.0004368234549215563,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,2,uniform,hidden_brier,candidate_minus_reference,98,-6.06406746166104e-05,-0.0002931186230853194,0.00016137122518705384,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,3,clustered,mean_hidden_dice,candidate_minus_reference,98,-3.7889509129192225e-05,-7.686979636361314e-05,2.142949323939621e-06,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,3,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,0.0015662885468716054,-0.0007529171240545248,0.003909054412989383,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,3,clustered,area_curve_relative_rmse,candidate_minus_reference,98,-3.757464007310688e-05,-0.00021921161721806932,0.00013311833360951916,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,3,clustered,hidden_brier,candidate_minus_reference,98,-1.221053226262243e-06,-7.314679726044988e-06,4.940325517815228e-06,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,3,random,mean_hidden_dice,candidate_minus_reference,98,-3.2034250220592156e-05,-7.035881585199697e-05,5.571586825649546e-06,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,3,random,mean_hidden_hd95_px,candidate_minus_reference,98,-0.0010443004110142092,-0.003304993695714756,0.0012017461837966962,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,3,random,area_curve_relative_rmse,candidate_minus_reference,98,-8.970954655392823e-05,-0.0003094976017962787,0.00010372618293380808,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,3,random,hidden_brier,candidate_minus_reference,98,8.918268948194755e-07,-6.246779313577063e-06,7.639923513086609e-06,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,3,uniform,mean_hidden_dice,candidate_minus_reference,98,-4.0528463568950224e-05,-7.239833045897651e-05,-8.25594564034724e-06,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,3,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,-0.000666809916203438,-0.003744619693284247,0.0024584005281866324,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,3,uniform,area_curve_relative_rmse,candidate_minus_reference,98,3.6499085008497756e-05,-0.00013597075438222435,0.0001925372329091515,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,3,uniform,hidden_brier,candidate_minus_reference,98,4.072664115502282e-06,-1.3717435946647588e-06,9.72478004286427e-06,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,5,clustered,mean_hidden_dice,candidate_minus_reference,98,-1.1369474958798439e-05,-5.1793629501708075e-05,3.020607836126097e-05,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,5,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,-0.001714826927039381,-0.004119818819878997,0.0007355968455044837,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,5,clustered,area_curve_relative_rmse,candidate_minus_reference,98,0.0002752180592564854,9.775071252282993e-05,0.0004542495230512988,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,5,clustered,hidden_brier,candidate_minus_reference,98,4.750585221513677e-06,-1.5059109701207e-06,1.1025168362775566e-05,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,5,random,mean_hidden_dice,candidate_minus_reference,98,-2.4735712685971225e-05,-6.432022794211518e-05,1.9269156191485165e-05,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,5,random,mean_hidden_hd95_px,candidate_minus_reference,98,-7.496386864323368e-05,-0.002262984450068231,0.002146027515242932,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,5,random,area_curve_relative_rmse,candidate_minus_reference,98,0.000334079418197609,0.0001237617526054448,0.0005577901811878806,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,5,random,hidden_brier,candidate_minus_reference,98,7.066915610007537e-06,-8.358358766628399e-07,1.4914088568898978e-05,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,5,uniform,mean_hidden_dice,candidate_minus_reference,98,-5.712023346216124e-05,-0.00012160718003289089,6.9061061927255805e-06,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,5,uniform,mean_hidden_hd95_px,candidate_minus_reference,98,0.008440439909257396,0.00352128566044607,0.01372067032402075,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,5,uniform,area_curve_relative_rmse,candidate_minus_reference,98,0.0007579878960724578,0.0004614554357389098,0.0010592526414058736,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,5,uniform,hidden_brier,candidate_minus_reference,98,2.267965286666295e-05,1.2082821090841198e-05,3.3733689663372144e-05,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,7,clustered,mean_hidden_dice,candidate_minus_reference,98,-2.5499801726670567e-05,-5.130766351493227e-05,-2.2903069187007307e-06,patient
oa_hb_tpm_isotropic_prior,oa_hb_tpm_map,7,clustered,mean_hidden_hd95_px,candidate_minus_reference,98,0.0016966400215684483,0.0004401973608966432,0.0030265011125466725,patient
