method_id,fold,k,prior_mean_l2,prior_harmonic_energy_fraction,mean_prior_covariance_trace,median_prior_covariance_condition_number,mean_absolute_prior_correlation,checkpoint_tensor_count
oa_hb_tpm_map,1,5,0.28892722507559787,0.9433757402632229,6.4167745962471585,1.2805988341248957,0.023753996080208523,36
oa_hb_tpm_map,1,7,0.13448643009454858,0.7145453047068018,6.245087234401966,1.2134100109159047,0.013967171298043105,36
oa_hb_tpm_map,2,10,0.14595197930452702,0.7181412094490799,5.984336460631578,1.257515714125096,0.014765291308842738,36
oa_hb_tpm_map,2,2,0.34528773309925487,0.9855857144296728,6.651938511684548,1.213119122357164,0.01884767162691167,36
oa_hb_tpm_map,2,3,0.32235663687443433,0.9677634472740584,6.550665540843242,1.3334333829979292,0.026409231057480404,36
oa_hb_tpm_map,2,5,0.2313531587405046,0.9045024973384514,6.470938637934676,1.2334497614817315,0.02007072858793705,36
oa_hb_tpm_map,2,7,0.16352341800056536,0.7696757506380353,6.0026333076038965,1.277080346463959,0.014927233584279897,36
oa_hb_tpm_map,3,10,0.07943079289810272,0.5882457240727058,6.792882927502715,1.0686390659437979,0.005482431998875641,36
oa_hb_tpm_map,3,2,0.07614064156798898,0.8136429578478382,6.852490761904034,1.0641261748745268,0.00563511321929905,36
oa_hb_tpm_map,3,3,0.08519464672672883,0.700064994328983,6.840340146437182,1.0868718152868662,0.007746766828134455,36
oa_hb_tpm_map,3,5,0.08372977882355156,0.5970418947711288,6.8107675053984895,1.085273564140653,0.007344901324121171,36
oa_hb_tpm_map,3,7,0.07774162390337978,0.5342491426856198,6.79804944685846,1.0754469272782405,0.005520444331007606,36
oa_hb_tpm_map,4,10,0.0721628705968019,0.5688476567566865,6.824787288548033,1.0540477818506155,0.004529172847434399,36
oa_hb_tpm_map,4,2,0.06446379334749751,0.7356662289894059,6.869448449801595,1.060267718327872,0.005140894879836997,36
oa_hb_tpm_map,4,3,0.07941576414244239,0.7000329693045826,6.86075618301643,1.076007520215828,0.006959761678978933,36
oa_hb_tpm_map,4,5,0.07290205495084233,0.5557458694263493,6.8382768829136396,1.0754288235651863,0.006580635301722952,36
oa_hb_tpm_map,4,7,0.0695650977689747,0.49509398502265806,6.8291128495879105,1.0630868718246975,0.004796307477532217,36
oa_hb_tpm_no_phase_alignment,0,10,0.12638072731909097,0.6950022905015119,6.633578636444375,1.1164704206849072,0.009318508446642663,36
oa_hb_tpm_no_phase_alignment,0,2,0.18246832017461798,0.961412466089297,6.805795092270671,1.10869525838935,0.010732225809364636,36
oa_hb_tpm_no_phase_alignment,0,3,0.17901806515812566,0.9104420192542009,6.765800489654111,1.1336562245956332,0.012908832113531336,36
oa_hb_tpm_no_phase_alignment,0,5,0.16512973713735582,0.8400133569423629,6.693721575345663,1.1441900097146613,0.01297101508349476,36
oa_hb_tpm_no_phase_alignment,0,7,0.12447863011897566,0.6972434321254612,6.646223266894557,1.12374334581927,0.01002276866800991,36
oa_hb_tpm_no_phase_alignment,1,10,0.13219889152554193,0.7015049300374984,6.2327562373624055,1.1935629004196184,0.01390148416849793,36
oa_hb_tpm_no_phase_alignment,1,2,0.2962465044381003,0.980941182183173,6.715747880160384,1.1699566159192296,0.01472269769948717,36
oa_hb_tpm_no_phase_alignment,1,3,0.2666896067429722,0.951989215348756,6.670124634338103,1.222258221992933,0.019084016322490918,36
oa_hb_tpm_no_phase_alignment,1,5,0.2881497956839996,0.9433562309307201,6.417070918380066,1.2590540942127495,0.022467060293699645,36
oa_hb_tpm_no_phase_alignment,1,7,0.1357664916748194,0.7202292476131453,6.247325318922728,1.2119267181555116,0.01479973914247079,36
oa_hb_tpm_no_phase_alignment,2,10,0.14609611792731217,0.7187142981924465,5.983124373843966,1.2573551060518233,0.015790571987934,36
oa_hb_tpm_no_phase_alignment,2,2,0.33876064049068505,0.9850184860330947,6.6604945647745675,1.2059948340876885,0.0179732553916795,36
oa_hb_tpm_no_phase_alignment,2,3,0.32895355105142005,0.9680695410443386,6.535086567379846,1.3307005213585694,0.02491323437792874,36
oa_hb_tpm_no_phase_alignment,2,5,0.2348273100430538,0.9073736913369929,6.4691293075323895,1.2109206498426097,0.01873037337223394,36
oa_hb_tpm_no_phase_alignment,2,7,0.16431367491554744,0.7717249249778195,6.004251722402223,1.2686033167940984,0.01653423004517722,36
oa_hb_tpm_no_phase_alignment,3,10,0.07888721805662169,0.5821183109374631,6.792686962590777,1.0673603969612329,0.00559050292363922,36
oa_hb_tpm_no_phase_alignment,3,2,0.07916632277473402,0.8277773224293571,6.853421227631297,1.0701086238273287,0.006380940204226095,36
oa_hb_tpm_no_phase_alignment,3,3,0.08735730003589359,0.7143688018988308,6.841106453289775,1.074389934667603,0.0064697620055609644,36
oa_hb_tpm_no_phase_alignment,3,5,0.08405318074170391,0.5999194224211898,6.810417154502961,1.0821521437680364,0.00756197271718329,36
oa_hb_tpm_no_phase_alignment,3,7,0.07764725611826688,0.5326744873396396,6.7986371742135425,1.0759310181756345,0.0066741541704822245,36
oa_hb_tpm_no_phase_alignment,4,10,0.07185516595353164,0.5651659542351704,6.824448376571642,1.0559895086330728,0.004639150971295007,36
oa_hb_tpm_no_phase_alignment,4,2,0.06764174185356256,0.7603136869292719,6.870088041531325,1.062985313083856,0.0055472946420544195,36
oa_hb_tpm_no_phase_alignment,4,3,0.07981200162418563,0.7019547067198436,6.862541274942592,1.0623827369408758,0.0052850130638929975,36
oa_hb_tpm_no_phase_alignment,4,5,0.0722301362080148,0.5472675539767492,6.837790168010152,1.0698862825047324,0.006256861633706656,36
oa_hb_tpm_no_phase_alignment,4,7,0.06908344122915476,0.4879574537057789,6.8293435381258565,1.0620294341309275,0.005502051400594154,36
source_mean,0,10,0.13571416103645997,0.9453652774108581,7.000000095848307,1.0,0.0,36
source_mean,0,2,0.13225655554018165,0.9514082171739422,7.000000095848307,1.0,0.0,36
source_mean,0,3,0.13138157296177566,0.946914588425477,7.000000095848307,1.0,0.0,36
source_mean,0,5,0.13543181261640794,0.947802682125139,7.000000095848307,1.0,0.0,36
source_mean,0,7,0.13419894604452848,0.9452798540538009,7.000000095848307,1.0,0.0,36
source_mean,1,10,0.11944363860016292,0.9387972780047643,7.000000095848307,1.0,0.0,36
source_mean,1,2,0.11745518527550143,0.9481284088931434,7.000000095848307,1.0,0.0,36
source_mean,1,3,0.11204366995615127,0.939373360492474,7.000000095848307,1.0,0.0,36
source_mean,1,5,0.11671378104648801,0.9388090134682882,7.000000095848307,1.0,0.0,36
source_mean,1,7,0.11678995760264389,0.9364429897953144,7.000000095848307,1.0,0.0,36
source_mean,2,10,0.13624115781945156,0.952725800622992,7.000000095848307,1.0,0.0,36
source_mean,2,2,0.13627027005342063,0.9611173006575484,7.000000095848307,1.0,0.0,36
source_mean,2,3,0.1365459001820977,0.9553515518710555,7.000000095848307,1.0,0.0,36
source_mean,2,5,0.13883445046823784,0.9552031634517151,7.000000095848307,1.0,0.0,36
source_mean,2,7,0.13628256897653,0.9530246989074179,7.000000095848307,1.0,0.0,36
source_mean,3,10,0.10196259286758355,0.9111720584068745,7.000000095848307,1.0,0.0,36
source_mean,3,2,0.09243670196102564,0.8990201370765942,7.000000095848307,1.0,0.0,36
source_mean,3,3,0.09535051037229883,0.9014369910027246,7.000000095848307,1.0,0.0,36
source_mean,3,5,0.1013888768565745,0.9109852703753677,7.000000095848307,1.0,0.0,36
source_mean,3,7,0.10125861863103795,0.9101285449536372,7.000000095848307,1.0,0.0,36
source_mean,4,10,0.08052113664665243,0.8571516048211382,7.000000095848307,1.0,0.0,36
source_mean,4,2,0.07173466561196026,0.8268724289311532,7.000000095848307,1.0,0.0,36
source_mean,4,3,0.07837781138176768,0.8518030380081061,7.000000095848307,1.0,0.0,36
