contrast,candidate_method,reference_method,scope,level,metric,n_paired_patients,candidate_mean,reference_mean,mean_paired_difference,relative_change_percent,bootstrap_95_lower,bootstrap_95_upper,interval_interpretation,difference_definition,bootstrap_unit
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k3_uniform,area_curve_relative_rmse,98,0.5982313950139005,0.6082177908546215,-0.009986395840720995,-1.6419111691371062,-0.013681229329143662,-0.006202770682417773,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k3_uniform,hidden_brier,98,0.03736955471032732,0.03762907380884395,-0.00025951909851662557,-0.6896770827658024,-0.00043588675301978695,-6.823675322098256e-05,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k5_clustered,mean_hidden_dice,98,0.7496235985029814,0.748696068984148,0.0009275295188334875,0.12388598755326521,9.495525978265425e-05,0.001796606840985152,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k5_clustered,mean_hidden_hd95_px,98,9.898249859465057,9.921851035483602,-0.023601176018543623,-0.23787069503602232,-0.06936857170753438,0.023010843896891515,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k5_clustered,area_curve_relative_rmse,98,0.6062756794150874,0.6077894362407206,-0.0015137568256330925,-0.24905941685922214,-0.003412915526703623,0.00037001645007435493,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k5_clustered,hidden_brier,98,0.037873430361933205,0.03783250982512012,4.0920536813079876e-05,0.10816236353927901,-8.962818117318106e-05,0.0001715470720272599,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k5_random,mean_hidden_dice,98,0.7474850895379638,0.746836514532813,0.000648575005150794,0.0868429693152474,-0.00014494791347221194,0.0014272944049520532,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k5_random,mean_hidden_hd95_px,98,9.906574033141364,9.934328380309312,-0.027754347167949316,-0.27937819352701093,-0.07202024063127761,0.019096049039431247,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k5_random,area_curve_relative_rmse,98,0.6056487720998103,0.6082964094494833,-0.0026476373496729334,-0.4352544760323478,-0.004566850328749806,-0.0006441094860440678,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k5_random,hidden_brier,98,0.037821419637802264,0.037805907420661936,1.5512217140322727e-05,0.04103119908674613,-0.00010442317111835652,0.00013615124621333693,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k5_uniform,mean_hidden_dice,98,0.7471042798551697,0.7458305837367236,0.0012736961184459377,0.17077552814535013,0.0005023794320705785,0.0020561631940875,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k5_uniform,mean_hidden_hd95_px,98,9.873389430977612,9.921988531203665,-0.04859910022605221,-0.4898120983834328,-0.09394019262940442,-0.00031771677350592924,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k5_uniform,area_curve_relative_rmse,98,0.6001142460801803,0.6040037938814988,-0.003889547801318508,-0.6439608228821173,-0.005909659211696774,-0.0018389717815314927,beneficial,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k5_uniform,hidden_brier,98,0.037528471945195735,0.037578999625556886,-5.052768036115365e-05,-0.1344572257500718,-0.00017605423048253421,6.908499825822019e-05,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k7_clustered,mean_hidden_dice,98,0.7500740891797812,0.7492683697266508,0.0008057194531303565,0.10753416074727674,-0.0004904478594826884,0.002096459957918727,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k7_clustered,mean_hidden_hd95_px,98,9.875489527161504,9.876316417069944,-0.0008268899084434368,-0.008372452577706644,-0.05941211420442805,0.058950500379523534,inconclusive,candidate_minus_reference,patient_stratified_within_fold
source_prior_contribution,oa_hb_tpm_map,target_only,k_strategy,k7_clustered,area_curve_relative_rmse,98,0.604111991703357,0.6093447610235536,-0.005232769320196613,-0.8587534766700563,-0.0077947405825285875,-0.002523873845260529,beneficial,candidate_minus_reference,patient_stratified_within_fold
