method_id,fold,k,best_epoch,best_validation_patient_mean_dice,n_history_epochs,final_validation_mean_full_cycle_dice,minimum_validation_total,final_validation_total
oa_hb_tpm_map,3,3,5,0.7280541893420616,18,0.7196678875883277,0.1621894009411335,0.1621894009411335
oa_hb_tpm_map,3,5,5,0.7278476916616163,18,0.7193302346813194,0.1716814279556274,0.1716814279556274
oa_hb_tpm_map,3,7,5,0.7279057397588802,18,0.7192950580932315,0.1791173353791237,0.1791173353791237
oa_hb_tpm_map,4,10,4,0.7432334268537913,17,0.730214710657447,0.1825176477432251,0.1825176477432251
oa_hb_tpm_map,4,2,4,0.7438458638491958,17,0.7256629374341051,0.167054907977581,0.167054907977581
oa_hb_tpm_map,4,3,4,0.7434924006318143,17,0.727166291587157,0.1703599140048027,0.1703599140048027
oa_hb_tpm_map,4,5,4,0.7431290735125804,17,0.7284616067919988,0.1764305591583252,0.1764305591583252
oa_hb_tpm_map,4,7,4,0.7431347385837428,17,0.7305835127361161,0.1808719679713249,0.1808719679713249
oa_hb_tpm_no_phase_alignment,0,10,10,0.7541083493532793,23,0.7464290070701207,0.0735766546800732,0.0828454641625285
oa_hb_tpm_no_phase_alignment,0,2,10,0.7570349217395828,23,0.7458644225650906,0.0485147457569837,0.0648946191184222
oa_hb_tpm_no_phase_alignment,0,3,10,0.7545483541730147,23,0.7449122265132264,0.0543396020773798,0.0698065557517111
oa_hb_tpm_no_phase_alignment,0,5,10,0.754711253973762,23,0.7449315016934077,0.0623858193866908,0.0753693980164826
oa_hb_tpm_no_phase_alignment,0,7,10,0.7541912156710493,23,0.7469253951127786,0.0718230802565813,0.0805667411535978
oa_hb_tpm_no_phase_alignment,1,10,24,0.7679572256534835,37,0.7662415116353669,0.0553551703225821,0.0553551703225821
oa_hb_tpm_no_phase_alignment,1,2,24,0.7714941791919376,37,0.7699745580603384,0.0285129275172948,0.0289110945537686
oa_hb_tpm_no_phase_alignment,1,3,21,0.769226710662427,34,0.7639514546603264,0.0354919962584972,0.0424640659242868
oa_hb_tpm_no_phase_alignment,1,5,24,0.7690390949332773,37,0.7678419102572651,0.0432271542027592,0.0436916258186101
oa_hb_tpm_no_phase_alignment,1,7,24,0.768240622080366,37,0.7662753126214523,0.0532251636614091,0.0532251636614091
oa_hb_tpm_no_phase_alignment,2,10,33,0.7584900532883317,46,0.7557852713134253,0.0654113596305251,0.0690192207694053
oa_hb_tpm_no_phase_alignment,2,2,38,0.7636454192724786,51,0.7612263404796786,0.0367544863373041,0.0399670363403856
oa_hb_tpm_no_phase_alignment,2,3,38,0.7615395589185303,51,0.7602826562514542,0.0445564480032771,0.0450452180579304
oa_hb_tpm_no_phase_alignment,2,5,22,0.7600136137935553,35,0.7578817010401228,0.0544452555477619,0.0600893285125494
oa_hb_tpm_no_phase_alignment,2,7,33,0.7584177974880685,46,0.7556896605302624,0.0634561244398355,0.0674305085092783
oa_hb_tpm_no_phase_alignment,3,10,5,0.7279757587626557,18,0.7192950580932315,0.181035815179348,0.181035815179348
oa_hb_tpm_no_phase_alignment,3,2,5,0.7280345433999535,18,0.7199839264544513,0.1556040063500404,0.1556040063500404
