method_id,k,strategy,n_patient_observations,n_patients,rejection_rate,trust_score_mean,trust_score_median,threshold_mean,trust_score_q05,trust_score_q25,trust_score_q75,trust_score_q95
oa_hb_tpm_no_phase_alignment,7,uniform,98,98,0.04081632653061224,2.848071041547214e-05,1.632245948712807e-05,2.8776571918003858e-05,7.078696683038288e-07,1.2647517166897158e-06,5.270699239190435e-05,7.522361374867614e-05
oa_hb_tpm_no_phase_alignment,10,clustered,490,98,0.6040816326530613,9.962887000866551e-05,9.35917669266928e-05,0.00013614947210394804,5.087204299343284e-05,7.822707993909717e-05,0.000110705366750975,0.00016780870937504493
oa_hb_tpm_no_phase_alignment,10,random,490,98,0.5081632653061224,7.412399419655788e-05,6.166366074467078e-05,0.00013614947210394804,1.8271298449690222e-05,4.115819228900364e-05,9.38602606765926e-05,0.00015823460853420473
oa_hb_tpm_no_phase_alignment,10,uniform,98,98,0.10204081632653061,8.041811518949755e-05,4.716093826573342e-05,0.00013614947210394802,1.3100113210384735e-05,3.2141840165422764e-05,9.959606722985062e-05,0.00022201648753246493
source_mean,2,clustered,490,98,0.6326530612244898,0.021288993430195552,0.0184806725010275,0.020157182222702595,0.0008403989922953101,0.004812799859791925,0.03608486894518132,0.05017816051840777
source_mean,2,random,490,98,0.5183673469387755,0.020558279941668593,0.0143151101656258,0.020157182222702595,0.0006678427307632801,0.0022267611930146002,0.03262631688266985,0.061239398457109885
source_mean,2,uniform,98,98,0.09183673469387756,0.018964151277477633,0.0093456301838159,0.020157182222702595,0.000789833973976715,0.001326350698945975,0.019367755390703675,0.06537433899939057
source_mean,3,clustered,490,98,0.4857142857142857,0.018030702547830655,0.0196428559720516,0.021767039801711553,0.00095745720027474,0.0030467733740806,0.026212939992547,0.04118972979485981
source_mean,3,random,490,98,0.35918367346938773,0.018245086885723762,0.01544741587713355,0.021767039801711553,0.0008216579910367251,0.002313412667717775,0.026687197387218427,0.05288742370903484
source_mean,3,uniform,98,98,0.12244897959183673,0.020911535716197423,0.0187928713858127,0.021767039801711557,0.0015629922971128899,0.0032201225985772,0.02678506262600415,0.05401169601827852
source_mean,5,clustered,490,98,0.6428571428571429,0.017441550026795,0.01707237493246785,0.01593381379723866,0.0007938651106087149,0.0032008572015911,0.0283382982015609,0.0437370091676712
source_mean,5,random,490,98,0.5265306122448979,0.016458539205973878,0.0160755161195993,0.01593381379723866,0.00108160250820216,0.00266309786820775,0.026211215183138774,0.04283389896154402
source_mean,5,uniform,98,98,0.11224489795918367,0.015545895775751523,0.015170502010732851,0.01593381379723866,0.001334407844115005,0.0029946147114969,0.024049703031778273,0.03341545611619943
source_mean,7,clustered,490,98,0.39387755102040817,0.014446554992618748,0.015041253529488999,0.018555419432469706,0.0008203621895517551,0.0030518125277011997,0.0205202754586935,0.03687030095607035
source_mean,7,random,490,98,0.33877551020408164,0.016350205984365675,0.01511682290583845,0.018555419432469706,0.001121489319484615,0.002682574326172425,0.0245452700182795,0.045874916203319925
source_mean,7,uniform,98,98,0.08163265306122448,0.017907984478741232,0.0165656358003616,0.018555419432469706,0.001431902678450545,0.0031392774544656,0.023827762342989424,0.0447240347042679
source_mean,10,clustered,490,98,0.4346938775510204,0.015567690507884145,0.0136022893711924,0.018187996335280062,0.00085827792063351,0.0035586184239946002,0.022458179388195224,0.042445410043001126
source_mean,10,random,490,98,0.39591836734693875,0.017173438691605324,0.016140382736921248,0.018187996335280062,0.0011469743680208651,0.0028729027835651746,0.027081667445600026,0.043918909877538596
source_mean,10,uniform,98,98,0.07142857142857142,0.01765204602923734,0.0162328919395804,0.018187996335280062,0.00131632821867236,0.0031044186325743252,0.025162283796816974,0.042005735635757394
target_only,2,clustered,490,98,0.6183673469387755,1.4058819094546958e-13,1.2100756052561837e-13,9.300312596628888e-14,2.198409385984661e-14,4.871812825932905e-14,2.2178777098289667e-13,2.8232508968465893e-13
target_only,2,random,490,98,0.6204081632653061,1.6936261782705619e-13,1.2517057160731093e-13,9.300312596628888e-14,2.935571995584712e-14,5.92108098798139e-14,2.6129907970424276e-13,4.3360102428046184e-13
target_only,2,uniform,98,98,0.10204081632653061,7.787229394226875e-14,6.319407548790144e-14,9.300312596628887e-14,3.232815152186785e-14,5.060467137967288e-14,1.0207842228015121e-13,1.3131316238361445e-13
target_only,3,clustered,490,98,0.8673469387755102,3.0259748205410645e-13,1.6804353725587487e-13,2.275732695401512e-13,6.776348484617036e-14,1.4933993169700954e-13,4.002474417977471e-13,7.376644732331669e-13
target_only,3,random,490,98,0.5816326530612245,4.647306430794427e-13,1.5971557030484284e-13,2.275732695401512e-13,5.0606614981473654e-14,1.0713605939633843e-13,4.111381442001468e-13,1.00585167907459e-12
target_only,3,uniform,98,98,0.07142857142857142,2.1495628548945293e-13,1.1876109362422838e-13,2.275732695401512e-13,5.4684790123081274e-14,1.0457505189218324e-13,2.8226299607098803e-13,5.200143267380943e-13
target_only,5,clustered,490,98,0.9979591836734694,1.3837039529626168e-11,6.522164752720272e-12,9.80059851755146e-13,7.115284761122915e-13,6.265636013497167e-12,2.6609965533136437e-11,3.137225063065684e-11
target_only,5,random,490,98,0.46122448979591835,2.371194606761945e-11,1.0405255758579035e-12,9.80059851755146e-13,2.69089897662455e-13,3.7257629165003697e-13,2.6014059613041485e-12,3.256152465713751e-11
target_only,5,uniform,98,98,0.08163265306122448,9.355812222680418e-13,4.285835602428971e-13,9.80059851755146e-13,3.2293431709122523e-13,4.0119912735970056e-13,1.6411228116481463e-12,1.9129622907433643e-12
target_only,7,clustered,490,98,1.0,2.608448488081455e-07,2.1804473249176226e-07,1.0076346275313006e-12,2.951442326093457e-08,1.1221062479194191e-07,3.540816635450028e-07,6.341983436186637e-07
target_only,7,random,490,98,0.926530612244898,4.896661543752979e-09,1.8167416356018595e-11,1.0076346275313006e-12,5.427963959379891e-13,3.5136676012313683e-12,2.5053230323646147e-10,1.4066636655485219e-08
target_only,7,uniform,98,98,0.14285714285714285,9.483063709602189e-13,6.383807057194074e-13,1.0076346275313006e-12,3.665091301741259e-13,4.964783060579583e-13,1.3543528549087719e-12,1.8918950499095813e-12
target_only,10,clustered,490,98,0.0020408163265306124,7.040832736038283e-06,1.4348372587846825e-06,2.5197900842306566e-05,4.866800310310282e-07,8.842842191825184e-07,3.327727199575748e-06,3.389007069927162e-05
target_only,10,random,490,98,0.01020408163265306,1.0410258208160252e-05,1.75668407109697e-06,2.5197900842306566e-05,5.286954262828659e-07,1.0081634798098094e-06,3.8272478377621155e-06,5.7795151224127037e-05
target_only,10,uniform,98,98,0.07142857142857142,1.6405605824542767e-05,2.4782603986750473e-06,2.5197900842306566e-05,8.956436715834571e-07,1.325119086459381e-06,5.051275024925417e-06,8.287713717436414e-05
