method_id,k,metric,mean,bootstrap_95_lower,bootstrap_95_upper
oa_hb_tpm_map,3,mean_hidden_hd95_px,9.856213337188246,8.967284266747729,10.74420565729347
oa_hb_tpm_map,3,area_curve_relative_rmse,0.6002337819925363,0.5240972193663381,0.6760513025527414
oa_hb_tpm_map,5,mean_hidden_dice,0.748070989298705,0.7284906445898399,0.7678038943566817
oa_hb_tpm_map,5,mean_hidden_hd95_px,9.892737774528012,9.060445244084566,10.78096835001776
oa_hb_tpm_map,5,area_curve_relative_rmse,0.6040128991983593,0.5297738389560478,0.6830270431120062
oa_hb_tpm_map,7,mean_hidden_dice,0.7475958846523967,0.7275654538582117,0.7664917310660104
oa_hb_tpm_map,7,mean_hidden_hd95_px,9.902049440891522,9.03812828322212,10.79597642353448
oa_hb_tpm_map,7,area_curve_relative_rmse,0.6034852846458486,0.5290496175005627,0.678844038218165
oa_hb_tpm_map,10,mean_hidden_dice,0.7486778392040051,0.7288256343771768,0.767891656051735
oa_hb_tpm_map,10,mean_hidden_hd95_px,9.888901421327326,9.064248491967373,10.79322789445641
oa_hb_tpm_map,10,area_curve_relative_rmse,0.6031577347024483,0.5277425106389779,0.6792559855289253
oa_hb_tpm_no_phase_alignment,2,mean_hidden_dice,0.7483988988055267,0.728989771546861,0.7672536459268225
oa_hb_tpm_no_phase_alignment,2,mean_hidden_hd95_px,9.775679494598721,8.953589437469507,10.651265282531151
oa_hb_tpm_no_phase_alignment,2,area_curve_relative_rmse,0.5920113440091054,0.516777748771063,0.667126887564543
oa_hb_tpm_no_phase_alignment,3,mean_hidden_dice,0.7484907552797457,0.7285919469315261,0.7677725772445799
oa_hb_tpm_no_phase_alignment,3,mean_hidden_hd95_px,9.853836696438425,9.005189636225122,10.733578194848262
oa_hb_tpm_no_phase_alignment,3,area_curve_relative_rmse,0.6003334513814209,0.5235693597354399,0.6772211696601298
oa_hb_tpm_no_phase_alignment,5,mean_hidden_dice,0.7480640975782468,0.7281050972166482,0.7669155064110426
oa_hb_tpm_no_phase_alignment,5,mean_hidden_hd95_px,9.893017868114065,9.036800238698852,10.771352704372612
oa_hb_tpm_no_phase_alignment,5,area_curve_relative_rmse,0.6038827144422795,0.52872474558731,0.6820438309705753
oa_hb_tpm_no_phase_alignment,7,mean_hidden_dice,0.7475990194918604,0.7279228329486812,0.7661136246187945
oa_hb_tpm_no_phase_alignment,7,mean_hidden_hd95_px,9.902004730599746,9.053657962486334,10.782350718259286
oa_hb_tpm_no_phase_alignment,7,area_curve_relative_rmse,0.6034745594398433,0.531104488085093,0.6769440413374062
