k,strategy,metric,method_id,mean,rank
3,uniform,area_curve_relative_rmse,hb_tpm_latent_mse,0.5687402711385975,1
3,uniform,area_curve_relative_rmse,source_mean,0.5911787124075556,2
3,uniform,area_curve_relative_rmse,oa_hb_tpm_map,0.5982313950139005,3
3,uniform,area_curve_relative_rmse,oa_hb_tpm_isotropic_prior,0.598267894098909,4
3,uniform,area_curve_relative_rmse,oa_hb_tpm_no_phase_alignment,0.59861659218848,5
3,uniform,area_curve_relative_rmse,target_only,0.6082177908546216,6
5,clustered,mean_hidden_dice,hb_tpm_latent_mse,0.7545133829564483,1
5,clustered,mean_hidden_dice,source_mean,0.7510421824914191,2
5,clustered,mean_hidden_dice,oa_hb_tpm_map,0.7496235985029814,3
5,clustered,mean_hidden_dice,oa_hb_tpm_no_phase_alignment,0.7496157554292727,4
5,clustered,mean_hidden_dice,oa_hb_tpm_isotropic_prior,0.7496122290280227,5
5,clustered,mean_hidden_dice,target_only,0.7486960689841481,6
5,clustered,mean_hidden_hd95_px,hb_tpm_latent_mse,9.468726137882527,1
5,clustered,mean_hidden_hd95_px,source_mean,9.758835577120935,2
5,clustered,mean_hidden_hd95_px,oa_hb_tpm_isotropic_prior,9.896535032538019,3
5,clustered,mean_hidden_hd95_px,oa_hb_tpm_map,9.898249859465057,4
5,clustered,mean_hidden_hd95_px,oa_hb_tpm_no_phase_alignment,9.898604861882456,5
5,clustered,mean_hidden_hd95_px,target_only,9.9218510354836,6
5,clustered,area_curve_relative_rmse,hb_tpm_latent_mse,0.5723646330863252,1
5,clustered,area_curve_relative_rmse,source_mean,0.5906301039234388,2
5,clustered,area_curve_relative_rmse,oa_hb_tpm_no_phase_alignment,0.6062236070174242,3
5,clustered,area_curve_relative_rmse,oa_hb_tpm_map,0.6062756794150874,4
5,clustered,area_curve_relative_rmse,oa_hb_tpm_isotropic_prior,0.6065508974743439,5
5,clustered,area_curve_relative_rmse,target_only,0.6077894362407206,6
5,random,mean_hidden_dice,hb_tpm_latent_mse,0.7519335862763022,1
5,random,mean_hidden_dice,source_mean,0.7492448565398707,2
5,random,mean_hidden_dice,oa_hb_tpm_map,0.7474850895379637,3
5,random,mean_hidden_dice,oa_hb_tpm_no_phase_alignment,0.74747992369826,4
5,random,mean_hidden_dice,oa_hb_tpm_isotropic_prior,0.7474603538252778,5
5,random,mean_hidden_dice,target_only,0.746836514532813,6
5,random,mean_hidden_hd95_px,hb_tpm_latent_mse,9.460829365483606,1
5,random,mean_hidden_hd95_px,source_mean,9.756893304909962,2
5,random,mean_hidden_hd95_px,oa_hb_tpm_isotropic_prior,9.906499069272721,3
5,random,mean_hidden_hd95_px,oa_hb_tpm_no_phase_alignment,9.906571430325872,4
5,random,mean_hidden_hd95_px,oa_hb_tpm_map,9.906574033141364,5
5,random,mean_hidden_hd95_px,target_only,9.934328380309314,6
5,random,area_curve_relative_rmse,hb_tpm_latent_mse,0.5707816616873622,1
5,random,area_curve_relative_rmse,source_mean,0.5906301668717597,2
5,random,area_curve_relative_rmse,oa_hb_tpm_no_phase_alignment,0.6054315668200763,3
5,random,area_curve_relative_rmse,oa_hb_tpm_map,0.6056487720998103,4
5,random,area_curve_relative_rmse,oa_hb_tpm_isotropic_prior,0.6059828515180079,5
5,random,area_curve_relative_rmse,target_only,0.6082964094494832,6
5,uniform,mean_hidden_dice,hb_tpm_latent_mse,0.7508571628909138,1
5,uniform,mean_hidden_dice,source_mean,0.7481723950850272,2
5,uniform,mean_hidden_dice,oa_hb_tpm_map,0.7471042798551697,3
5,uniform,mean_hidden_dice,oa_hb_tpm_no_phase_alignment,0.7470966136072074,4
5,uniform,mean_hidden_dice,oa_hb_tpm_isotropic_prior,0.7470471596217075,5
5,uniform,mean_hidden_dice,target_only,0.7458305837367238,6
5,uniform,mean_hidden_hd95_px,hb_tpm_latent_mse,9.424113080192768,1
5,uniform,mean_hidden_hd95_px,source_mean,9.756748485015084,2
5,uniform,mean_hidden_hd95_px,oa_hb_tpm_map,9.873389430977612,3
5,uniform,mean_hidden_hd95_px,oa_hb_tpm_no_phase_alignment,9.87387731213387,4
5,uniform,mean_hidden_hd95_px,oa_hb_tpm_isotropic_prior,9.88182987088687,5
5,uniform,mean_hidden_hd95_px,target_only,9.921988531203663,6
5,uniform,area_curve_relative_rmse,hb_tpm_latent_mse,0.5658063992653101,1
5,uniform,area_curve_relative_rmse,source_mean,0.5906301393649968,2
5,uniform,area_curve_relative_rmse,oa_hb_tpm_no_phase_alignment,0.5999929694893378,3
5,uniform,area_curve_relative_rmse,oa_hb_tpm_map,0.6001142460801803,4
5,uniform,area_curve_relative_rmse,oa_hb_tpm_isotropic_prior,0.6008722339762528,5
5,uniform,area_curve_relative_rmse,target_only,0.6040037938814988,6
